sheet,excel_row,source_id,no,season,making,type,project,picture,size_range,qty,material,colour,remarks,season_normalized,making_normalized,type_normalized,project_normalized
WINTER HEEL,3,WINTER HEEL::3,1,WINTER,CONVYER,LADIES,1388,.,37,.,HEEL,.,,WINTER,CONVEYOR,LADIES,1388
WINTER HEEL,4,WINTER HEEL::4,2,WINTER / SUMMER,CONVYER,LADIES,7026,.,37,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,7026
WINTER HEEL,5,WINTER HEEL::5,3,WINTER / SUMMER,CONVYER,LADIES,7029,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,7029
WINTER HEEL,6,WINTER HEEL::6,4,WINTER / SUMMER,CONVYER,LADIES,"SLIP
(40179)",.,37,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,SLIP (40179)
WINTER HEEL,7,WINTER HEEL::7,5,WINTER / SUMMER,CONVYER,LADIES,Breeze,.,37,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,BREEZE
WINTER HEEL,8,WINTER HEEL::8,6,WINTER,CONVYER,LADIES,CAPRI,.,37,.,TPR + HEEL,.,,WINTER,CONVEYOR,LADIES,CAPRI
WINTER HEEL,9,WINTER HEEL::9,7,WINTER,CONVYER,LADIES,Magnum,.,37,.,TPR,.,,WINTER,CONVEYOR,LADIES,MAGNUM
WINTER HEEL,10,WINTER HEEL::10,8,WINTER,CONVYER,LADIES,CARA,.,37,.,TPR,.,,WINTER,CONVEYOR,LADIES,CARA
WINTER HEEL,11,WINTER HEEL::11,9,WINTER / SUMMER,CONVYER,LADIES,KELLY,.,37,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,KELLY
WINTER HEEL,12,WINTER HEEL::12,10,WINTER / SUMMER,CONVYER,LADIES,Reef,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,REEF
WINTER HEEL,13,WINTER HEEL::13,11,WINTER,CONVYER,LADIES,BLINDA,.,37/M,.,TPR+Heel,.,,WINTER,CONVEYOR,LADIES,BLINDA
WINTER HEEL,14,WINTER HEEL::14,12,WINTER / SUMMER,CONVYER,LADIES,Zeeta paint,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,ZEETA PAINT
WINTER HEEL,15,WINTER HEEL::15,13,WINTER / SUMMER,CONVYER,LADIES,ORION,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,ORION
WINTER HEEL,16,WINTER HEEL::16,14,WINTER / SUMMER,CONVYER,LADIES,C-Height,,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,C-HEIGHT
WINTER HEEL,17,WINTER HEEL::17,15,WINTER / SUMMER,CONVYER,LADIES,River,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,RIVER
WINTER HEEL,18,WINTER HEEL::18,16,WINTER / SUMMER,CONVYER,LADIES,KIZA,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,KIZA
WINTER HEEL,19,WINTER HEEL::19,17,WINTER / SUMMER,CONVYER,LADIES,ROZY,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,ROZY
WINTER HEEL,20,WINTER HEEL::20,18,WINTER,CONVYER,LADIES,MOROCO,.,37,.,TPR,.,,WINTER,CONVEYOR,LADIES,MOROCO
WINTER HEEL,21,WINTER HEEL::21,19,WINTER,CONVYER,LADIES,BOLD,Picture,36-42,7,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,BOLD
WINTER HEEL,22,WINTER HEEL::22,20,WINTER,CONVYER,LADIES,"VINCI
WINTER",Picture,36-42,7,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,VINCI WINTER
WINTER HEEL,23,WINTER HEEL::23,21,WINTER,CONVYER,LADIES,Stellar/Sofia,.,37/M,.,HEEL,.,,WINTER,CONVEYOR,LADIES,STELLAR/SOFIA
WINTER HEEL,24,WINTER HEEL::24,22,WINTER,CONVYER,LADIES,Cuba/Ariana,.,37/M,.,WEDGE,.,,WINTER,CONVEYOR,LADIES,CUBA/ARIANA
WINTER HEEL,25,WINTER HEEL::25,23,WINTER,CONVYER,LADIES,Aurora/Camila,.,37/M,.,HEEL,.,,WINTER,CONVEYOR,LADIES,AURORA/CAMILA
WINTER HEEL,26,WINTER HEEL::26,24,WINTER,CONVYER,LADIES,Nova/Austin,.,37/M,.,HEEL,.,,WINTER,CONVEYOR,LADIES,NOVA/AUSTIN
WINTER HEEL,27,WINTER HEEL::27,25,WINTER,CONVYER,LADIES,Lyra,.,37/M,.,HEEL,.,,WINTER,CONVEYOR,LADIES,LYRA
WINTER HEEL,28,WINTER HEEL::28,26,WINTER,CONVYER,LADIES,Luna,.,37/M,.,HEEL,.,,WINTER,CONVEYOR,LADIES,LUNA
WINTER HEEL,29,WINTER HEEL::29,27,WINTER,CONVYER,LADIES,Selene,.,37/M,.,HEEL,.,,WINTER,CONVEYOR,LADIES,SELENE
WINTER HEEL,30,WINTER HEEL::30,28,WINTER,CONVYER,LADIES,Draco,.,37/M,.,HEEL,.,,WINTER,CONVEYOR,LADIES,DRACO
WINTER FLAT,3,WINTER FLAT::3,1,WINTER,CONVYER,LADIES,LESTON,Picture,37,.,Rubber,Black,,WINTER,CONVEYOR,LADIES,LESTON
WINTER FLAT,4,WINTER FLAT::4,2,WINTER,CONVYER,LADIES,MONICA,Picture, 36-42  ,7,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,MONICA
WINTER FLAT,5,WINTER FLAT::5,3,WINTER,CONVYER,LADIES,RAVI,Picture,36-42,7,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,RAVI
WINTER FLAT,6,WINTER FLAT::6,4,WINTER,CONVYER,KIDS,RAVI,Picture,36-42,7,TPR,Beige and Black,,WINTER,CONVEYOR,KIDS,RAVI
WINTER FLAT,7,WINTER FLAT::7,5,WINTER,CONVYER,LADIES,PULSE,Picture,36-42,7,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,PULSE
WINTER FLAT,8,WINTER FLAT::8,6,WINTER,CONVYER,LADIES,INSIG,Picture,36-42,7,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,INSIG
WINTER FLAT,9,WINTER FLAT::9,7,WINTER,CONVYER,LADIES,QUEST,Picture,36-42,7,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,QUEST
WINTER FLAT,10,WINTER FLAT::10,8,WINTER,CONVYER,LADIES,BLOOM,Picture,36-42,7,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,BLOOM
WINTER FLAT,11,WINTER FLAT::11,9,WINTER,CONVYER,LADIES,FLUX,Picture,28-35,8,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,FLUX
WINTER FLAT,12,WINTER FLAT::12,10,WINTER,CONVYER,LADIES,TIDE,Picture,28-36,8,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,TIDE
WINTER FLAT,13,WINTER FLAT::13,11,WINTER,CONVYER,LADIES,SPIRAL,Picture,36-42,7,TPR,BLACK,,WINTER,CONVEYOR,LADIES,SPIRAL
WINTER FLAT,14,WINTER FLAT::14,12,WINTER,CONVYER,LADIES,COUNTRY,Picture,42,Proto,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,COUNTRY
WINTER FLAT,15,WINTER FLAT::15,13,WINTER,CONVYER,LADIES,SOLENT,Picture,42,Proto,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,SOLENT
WINTER FLAT,16,WINTER FLAT::16,14,WINTER,CONVYER,LADIES,HASTING,Picture,37,Proto,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,HASTING
WINTER FLAT,17,WINTER FLAT::17,15,WINTER,CONVYER,LADIES,BUGATTI,Picture,42,Proto,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,BUGATTI
WINTER FLAT,18,WINTER FLAT::18,16,WINTER,CONVYER,LADIES,NAPIER,Picture,37,Proto,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,NAPIER
WINTER FLAT,19,WINTER FLAT::19,17,WINTER,CONVYER,LADIES,SCENT,Picture,36-42,7,TPR,"""",,WINTER,CONVEYOR,LADIES,SCENT
WINTER FLAT,20,WINTER FLAT::20,18,WINTER,CONVYER,LADIES,BEE,.,37,.,TPR,.,,WINTER,CONVEYOR,LADIES,BEE
WINTER FLAT,21,WINTER FLAT::21,19,WINTER,CONVYER,LADIES,MM2,Picture,"28-35,36-42",15,TPR,"""",,WINTER,CONVEYOR,LADIES,MM2
WINTER FLAT,22,WINTER FLAT::22,20,WINTER,CONVYER,KIDS,MM2,Picture,"28-35,36-42",15,TPR,"""",,WINTER,CONVEYOR,KIDS,MM2
WINTER FLAT,23,WINTER FLAT::23,21,WINTER,CONVYER,LADIES,GLOW-24,.,37,.,Two Colour tpr,.,,WINTER,CONVEYOR,LADIES,GLOW-24
WINTER FLAT,24,WINTER FLAT::24,22,WINTER,CONVYER,LADIES,BLADE,.,37,.,TPR,.,,WINTER,CONVEYOR,LADIES,BLADE
WINTER FLAT,25,WINTER FLAT::25,23,WINTER,CONVYER,LADIES,DRIVING MOCC,.,37,.,TPR,.,,WINTER,CONVEYOR,LADIES,DRIVING MOCC
WINTER FLAT,26,WINTER FLAT::26,24,WINTER,CONVYER,LADIES,PVC BLADE,.,37,.,PVC,.,,WINTER,CONVEYOR,LADIES,PVC BLADE
WINTER FLAT,27,WINTER FLAT::27,25,WINTER,CONVYER,LADIES,OYNX,.,37,.,TPR,.,,WINTER,CONVEYOR,LADIES,OYNX
WINTER FLAT,28,WINTER FLAT::28,26,WINTER,CONVYER,LADIES,LECCE,Picture,37,Proto,TPR,Beige and Black,,WINTER,CONVEYOR,LADIES,LECCE
WINTER PU,3,WINTER PU::3,1,WINTER,CONVYER,LADIES,ELEGANCE,Picture,36-41,6,PU,BLACK,,WINTER,CONVEYOR,LADIES,ELEGANCE
WINTER PU,4,WINTER PU::4,2,WINTER,CONVYER,LADIES,BICA,.,37,.,PU,.,,WINTER,CONVEYOR,LADIES,BICA
WINTER PU,5,WINTER PU::5,3,WINTER,CONVYER,LADIES,CHUNKI / ZENKA,.,37,.,PU,.,,WINTER,CONVEYOR,LADIES,CHUNKI / ZENKA
WINTER PU,6,WINTER PU::6,4,WINTER,CONVYER,LADIES,MILA,.,37,.,TPU,.,,WINTER,CONVEYOR,LADIES,MILA
WINTER DIP PU,3,WINTER DIP PU::3,1,WINTER,DIP,KIDS,ARIA ,Picture,26-37,12,PU Shoe,BLACK,Mold Not Ok,WINTER,DIP,KIDS,ARIA
WINTER DIP PU,4,WINTER DIP PU::4,2,WINTER,DIP,KIDS,KIAN,Picture,26-37,12,PU Shoe,CREAM,Mold Not Ok,WINTER,DIP,KIDS,KIAN
WINTER DIP PU,5,WINTER DIP PU::5,3,WINTER,DIP,KIDS,MASON,Picture,26-37,12,PU Shoe,BLACK,Mold Not Ok,WINTER,DIP,KIDS,MASON
WINTER DIP PU,6,WINTER DIP PU::6,4,WINTER,DIP,LADIES,DELAA,Picture,37,Proto,PU Shoe,BEIGE/WHITE,Double Color,WINTER,DIP,LADIES,DELAA
WINTER DIP PU,7,WINTER DIP PU::7,5,WINTER,DIP,LADIES,MERCURY,Picture,37,.,PU Shoe,BLACK,,WINTER,DIP,LADIES,MERCURY
WINTER DIP PU,8,WINTER DIP PU::8,6,WINTER,DIP,LADIES,MARS,Picture,37,.,PU Shoe,BLACK,,WINTER,DIP,LADIES,MARS
WINTER DIP PU,9,WINTER DIP PU::9,7,WINTER,DIP,LADIES,JUPITER,Picture,37,.,PU Shoe,BLACK,,WINTER,DIP,LADIES,JUPITER
WINTER DIP PVC,3,WINTER DIP PVC::3,1,WINTER,DIP,KIDS,Casper,Picture,26-37,24,PVC,WHITE,XINGZHONG,WINTER,DIP,KIDS,CASPER
WINTER DIP PVC,4,WINTER DIP PVC::4,2,WINTER,DIP,KIDS,Dora,Picture,26-37,24,PVC,WHITE,XINGZHONG,WINTER,DIP,KIDS,DORA
WINTER DIP PVC,5,WINTER DIP PVC::5,3,WINTER,DIP,KIDS,SKATE,Picture,26-37,12,PVC,WHITE,BENLONG,WINTER,DIP,KIDS,SKATE
WINTER DIP PVC,6,WINTER DIP PVC::6,4,WINTER,DIP,LADIES,RIVO,Picture,36-41,12,PVC,WHITE,BENLONG,WINTER,DIP,LADIES,RIVO
WINTER DIP PVC,7,WINTER DIP PVC::7,5,WINTER,DIP,LADIES,BRIGHT,Picture,36-41,12,PVC,WHITE/BEIGE,BENLONG,WINTER,DIP,LADIES,BRIGHT
WINTER DIP PVC,8,WINTER DIP PVC::8,6,WINTER,DIP,LADIES,WAX,Picture,36-41,12,PVC,WHITE,BENLONG,WINTER,DIP,LADIES,WAX
