image_id,sheet,excel_row,excel_column,project_raw,project_normalized,season,making,type,source_file,extracted_file,width,height,file_size,sha256,image_sequence,mapping_type,confidence,verification_status,notes
SUMMARY__row_4__image1.jpeg__a0,SUMMARY,4,8,,,,,,image1.jpeg,extracted-images/_unmatched/SUMMARY/row_4/01.jpeg,128,128,4204,868a9536ef0e8030569690cb183700036c86582117d1f22fea0ebb72bb7402e7,1,unmatched,LOW,UNMATCHED,shape-with-image (not xdr:pic) — possible decorative/template element; No article row at anchored excel_row
WINTER_SUMMER__row_2__image2.jpeg__a0,WINTER & SUMMER,2,2,,,,,,image2.jpeg,extracted-images/_unmatched/WINTER_SUMMER/row_2/01.jpeg,128,128,2847,785be7324ae731a2d15953d92dafcb8ac2b6fddcad93151a3cb1cda001ea6335,1,unmatched,LOW,UNMATCHED,shape-with-image (not xdr:pic) — possible decorative/template element; No article row at anchored excel_row
WINTER_SUMMER__row_2__image3.jpeg__a1,WINTER & SUMMER,2,7,,,,,,image3.jpeg,extracted-images/_unmatched/WINTER_SUMMER/row_2/02.jpeg,128,128,2623,83f708f4dd19bbb14233accbc9665979ff7f9c65dc877bb6e6ca81efe1b08866,2,unmatched,LOW,UNMATCHED,shape-with-image (not xdr:pic) — possible decorative/template element; No article row at anchored excel_row
WINTER_HEEL__row_3__image4.jpeg__a0,WINTER HEEL,3,6,1388,1388,WINTER,CONVYER,LADIES,image4.jpeg,extracted-images/WINTER_HEEL/row_3/01.jpeg,119,96,1590,2ecc796516981b89f1280054a5f9e6c445fab831ce8f4454dbd8c680232ee8a7,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_4__image5.jpeg__a1,WINTER HEEL,4,6,7026,7026,WINTER / SUMMER,CONVYER,LADIES,image5.jpeg,extracted-images/WINTER_HEEL/row_4/01.jpeg,122,98,1961,f62020b07f10fc702a5da7cffb07840add44199991575e2d3e98ef3787b88fb3,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_6__image6.jpeg__a2,WINTER HEEL,6,6,"SLIP
(40179)",SLIP (40179),WINTER / SUMMER,CONVYER,LADIES,image6.jpeg,extracted-images/WINTER_HEEL/row_6/01.jpeg,97,101,1702,d7da6f6ed64c2893ff7e066351b6cb7fd183c8c3ca0f8d479b9c230add8eee97,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_7__image7.jpeg__a3,WINTER HEEL,7,6,Breeze,BREEZE,WINTER / SUMMER,CONVYER,LADIES,image7.jpeg,extracted-images/WINTER_HEEL/row_7/01.jpeg,77,90,1606,28b24ab7cced9fcb6ccc04e7405bd0e81209205d2f4c44bc0aee7aa554f8c6dd,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_8__image8.png__a4,WINTER HEEL,8,6,CAPRI,CAPRI,WINTER,CONVYER,LADIES,image8.png,extracted-images/WINTER_HEEL/row_8/01.png,102,139,28366,6ffccfd930cf502db135260d514dfe9353b44e17f0733de8e4d4a45c0b970817,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_12__image9.png__a5,WINTER HEEL,12,6,Reef,REEF,WINTER / SUMMER,CONVYER,LADIES,image9.png,extracted-images/WINTER_HEEL/row_12/01.png,113,98,22384,eb813c1b42359af08a4b8bcccd3ada0a2b94ccac1373ab04b224d92a51eadc90,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_14__image10.png__a6,WINTER HEEL,14,6,Zeeta paint,ZEETA PAINT,WINTER / SUMMER,CONVYER,LADIES,image10.png,extracted-images/WINTER_HEEL/row_14/01.png,100,109,24994,7034b7f32594695f19606bdb6bdc24c684046ce9c4ddd950fcc5383d92bded92,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_15__image11.png__a7,WINTER HEEL,15,6,ORION,ORION,WINTER / SUMMER,CONVYER,LADIES,image11.png,extracted-images/WINTER_HEEL/row_15/01.png,97,152,33479,f3581df5356a8cbb4129da5ae69e1ed0e0ee47d2cbb5edb3c801b991804b5a66,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_17__image12.png__a8,WINTER HEEL,17,6,River,RIVER,WINTER / SUMMER,CONVYER,LADIES,image12.png,extracted-images/WINTER_HEEL/row_17/01.png,109,97,21009,45d8aa018fed114856225b06d1d9b2c05201b3d768651c88a89e9ba52b8d7fbf,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_29__image13.jpeg__a9,WINTER HEEL,29,6,Selene,SELENE,WINTER,CONVYER,LADIES,image13.jpeg,extracted-images/WINTER_HEEL/row_29/02.jpeg,89,122,2205,9980a763e722b60b9c452dc79da043768b791da0c483e7c0097aa7d4766c9449,2,drawing_anchor,LOW,NEEDS_REVIEW,degenerate anchor extent (0 width/height)
WINTER_HEEL__row_28__image14.jpeg__a10,WINTER HEEL,28,6,Luna,LUNA,WINTER,CONVYER,LADIES,image14.jpeg,extracted-images/WINTER_HEEL/row_28/02.jpeg,212,148,5935,6da116587b9817facc7a58b8fac969c8edb3efade543861104deb8a3e307be3d,2,drawing_anchor,LOW,NEEDS_REVIEW,degenerate anchor extent (0 width/height)
WINTER_HEEL__row_29__image15.jpeg__a11,WINTER HEEL,29,6,Selene,SELENE,WINTER,CONVYER,LADIES,image15.jpeg,extracted-images/WINTER_HEEL/row_29/01.jpeg,166,86,3258,54aac72995f1980eb9e16f21372cc396580b085ef6346e783824b6f1b6cd9c96,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_23__image16.png__a12,WINTER HEEL,23,6,Stellar/Sofia,STELLAR/SOFIA,WINTER,CONVYER,LADIES,image16.png,extracted-images/WINTER_HEEL/row_23/01.png,163,88,22023,219fe6fc3216f9b2ffc60f137b7667af150081195e3572eeedd32bffa2b4b672,1,drawing_anchor,HIGH,VERIFIED,
