sheet,excel_row,project_raw,season,making,type,image_count,status,notes
WINTER HEEL,3,1388,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,4,7026,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,5,7029,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,6,"SLIP
(40179)",WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,7,Breeze,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,8,CAPRI,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,9,Magnum,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,10,CARA,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,11,KELLY,WINTER / SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
WINTER HEEL,12,Reef,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,13,BLINDA,WINTER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
WINTER HEEL,14,Zeeta paint,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,15,ORION,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,16,C-Height,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,17,River,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,18,KIZA,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,19,ROZY,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,20,MOROCO,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,21,BOLD,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,22,"VINCI
WINTER",WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,23,Stellar/Sofia,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,24,Cuba/Ariana,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,25,Aurora/Camila,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,26,Nova/Austin,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,27,Lyra,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER HEEL,28,Luna,WINTER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
WINTER HEEL,29,Selene,WINTER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
WINTER HEEL,30,Draco,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER FLAT,3,LESTON,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
WINTER FLAT,4,MONICA,WINTER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
